MGEN|20210608121332|1.0|30|7222|RECURRENT
CAISSEAFFILIATION|0102562235|20090209000002|ACT|973|19940901||506||||||||||||||||||||||
CAISSEAFFILIATION|0102816150|20090209000001|ACT|973|20060901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981620|20090209000001|ACT|973|20040901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981621|20181215053242|ACT|973|20181215|20191031|506||||||||||||||||||||||
CAISSEAFFILIATION|0104981621|20191108110106|ACT|131|20191101||506||||||||||||||||||||||
CNIL|0102562235|1|1|1|1|20090422||20090422000001|1||||||||||||||||||||
CNIL|0102816150|1|1|1|1|20090422||20090422000001|1||||||||||||||||||||
CNIL|0104981620|1|1|1|1|20090422||20090422000001|1||||||||||||||||||||
CNIL|0104981621|1|1|0|0|20181215||20191108110028|0||||||||||||||||||||
CNIL|0106280491|1|0|1|0|20090422||20090422000001|0||||||||||||||||||||
CNIL|0107299679|1|1|0|0|20200303||20200303150544|0||||||||||||||||||||
CONTENTIEUXCONTRAT|10RC0605601095|34563|20200619000001||||||||||||||||||||||||||
CONTRATCOLLECTIF|16000031|1|2565|S9900100|O0004601|FR018601|OF000028|0|MAIF ETUDIANT|20130101|||||||||||||||||||
CONTRATCOLLECTIF|16000032|1|11197|S7900302|O0004601|FR018601|OF000028|0|SERENA|20130101|||||||||||||||||||
CONTRATCOLLECTIF|16000033|1|11817|S7900801|O0004601|FR018601|OF000028|0|MUTUELLE DES MOTARDS|20100101|||||||||||||||||||
CONTRATCOLLECTIF|16000034|1|10355|S7900200|O0004601|FR018601|OF000028|0|MAIF|19910101|||||||||||||||||||
CONTRATCOLLECTIF|16000035|1|4099|S7900702|O0004601|FR018601|OF000028|0|PARNASSE MAIF|20130304|||||||||||||||||||
CONTRATCOLLECTIF|16000036|1|11872|S7900802|O0004601|FR018601|OF000028|0|MUTUELLE DES MOTARDS|20110907|||||||||||||||||||
CONTRATCOLLECTIF|16000037|1|9477|S7900320|O0004601|FR018601|OF000028|0|SERENA|20110701|||||||||||||||||||
CONTRATCOLLECTIF|16000038|1|9299|S3700022|O0004501|FR018701|OF000028|0|MAIF SOLUTIONS FINAN|20130501|||||||||||||||||||
CONTRATCOLLECTIF|16000039|1|4978|S3100066|O0004501|FR018701|OF000028|0|ASEI CENTRE RENE CAM|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000040|1|938|S9300066|O0004501|FR018701|OF000028|0|FEDERATION NAT LEO L|20130101|||||||||||||||||||
CONTRATCOLLECTIF|16000041|1|4870|S7600057|O0004501|FR018701|OF000028|0|FOYER D ACCUEIL MEDI|20131001|||||||||||||||||||
CONTRATCOLLECTIF|16000042|1|13180|S3400045|O0004501|FR018701|OF000028|0|FEDERATION NAT LEO L|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000043|1|14401|S7100041|O0004501|FR018701|OF000028|0|L ATELIER DES PEP|20080101|||||||||||||||||||
